car_id,manufacturer,model,description,transmission,transmission_type,engine_size_cm3,fuel,powertrain,power_ps,co2_emissions_gPERkm
1,ABARTH,595,1.4 TJET 145bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,161
2,ABARTH,595,1.4 TJET 145bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,153
3,ABARTH,595,595 1.4 145 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,169
4,ABARTH,595,595 1.4 145 BHP,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,162
5,ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,169
6,ABARTH,595,595 1.4 145 BHP Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,162
7,ABARTH,595,595 1.4 TJET 145 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,169
8,ABARTH,595,595 1.4 TJET 145 BHP,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),145,162
9,ABARTH,595,595 Competizione 180 BHP Hatchback,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
10,ABARTH,595,595 Competizione 180 BHP Hatchback,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),180,172
11,ABARTH,595,595 Competizione 1.4 TJET 180 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
12,ABARTH,595,595 Competizione 1.4 TJET 180 BHP ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),180,172
13,ABARTH,595,595 Competizione 1.4 TJET 180 BHP Convertible,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
14,ABARTH,595,595 Comperizione 1.4 TJET 180 BHP Convertible ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),180,172
15,ABARTH,595,595 Esseesse 1.4 TJET 180 BHP,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
16,ABARTH,595,595 Esseesse 1.4 TJET 180 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
17,ABARTH,595,595 Pista 1.4 TJET 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
18,ABARTH,595,595 Pista 1.4 TJET 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
19,ABARTH,595,595 Pista 1.4 TJET 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
20,ABARTH,595,595 Pista 1.4 TJET 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
21,ABARTH,595,595 SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
22,ABARTH,595,595 SCORPIONEORO 1.4 TJET 165bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
23,ABARTH,595,595 Turismo 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
24,ABARTH,595,595 Turismo 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
25,ABARTH,595,595 Turismo 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
26,ABARTH,595,595 Turismo 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
27,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
28,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
29,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165,177
30,ABARTH,595,595 Turismo 1.4 TJET 165 BHP ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165,162
31,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
32,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
33,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165,177
34,ABARTH,595,595 Turismo 1.4 TJET 165 BHP Convertible ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),165,162
35,ABARTH,595,595 YAMAHA MONSTER  ENERGY 1.4 TJET 165bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,165
36,ABARTH,595,595 YAMAHA MONSTER  ENERGY 1.4 TJET 165bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),165,171
37,ABARTH,595,695 Rivale 1.4 TJET 180 BHP ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
38,ABARTH,595,695 Rivale 1.4 TJET 180 BHP ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),180,172
39,ABARTH,595,695 Rivale 1.4 TJET 180 BHP Convertible ,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,171
40,ABARTH,595,695 Rivale 1.4 TJET 180 BHP Convertible ,SAT5,Automatic,1368,Petrol,Internal Combustion Engine (ICE),180,172
41,ABARTH,595,COMPETIZIONE 1.4 TJET 180bhp,M5,Manual,1368,Petrol,Internal Combustion Engine (ICE),180,156
